tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcoleaceae	Lyngbya	Lyngbya sp000169095	NrdA	
Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	JAAUPO01	JAAUPO01 sp012033095	NrdA	
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrionaceae	Seleniivibrio	Seleniivibrio sp002452405	NrdD	NrdDd
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	Deferribacter desulfuricans	NrdD	NrdDd
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrionaceae	Geovibrio	Geovibrio sp001603805	NrdD	NrdDd
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrionaceae	Denitrovibrio	Denitrovibrio acetiphilus	NrdD	NrdDd
Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrionaceae	Seleniivibrio	Seleniivibrio sp002452335	NrdD	NrdDd
Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus tenuipuniceus	NrdA	NrdAi
Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus caldilimi	NrdA	NrdAi
Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus thermamylovorans	NrdA	NrdAi
Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus thermamylovorans	NrdA	NrdAi
Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus sp000794385	NrdA	NrdAi
Bacteria	Delongbacteria	UBA4055	UBA4055	UBA4055	GCA-2742935	GCA-2742935 sp002742935	NrdA	NrdAg
Bacteria	Delongbacteria	UBA4055	UBA4055	UBA4055	GCA-2742935	GCA-2742935 sp002742935	NrdD	NrdDd
Bacteria	Delongbacteria	UBA4055	CAIWAD01	CAIWAD01	CAIWAD01	CAIWAD01 sp903910645	NrdJ	NrdJk
Bacteria	Delongbacteria	UBA4055	UBA4055	UBA4055	UBA12480	UBA12480 sp003477045	NrdJ	NrdJuc02
Bacteria	Delongbacteria	UBA4055	UBA4055	UBA4055	WTAK01	WTAK01 sp013139625	NrdJ	NrdJuc02
Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	AWTP1-30	AWTP1-30 sp003963225	NrdA	NrdAg
Bacteria	Dependentiae	Babeliae	Babeliales	Chromulinavoraceae	Chromulinavorax	Chromulinavorax destructans	NrdA	NrdAz
Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	Babela	Babela massiliensis	NrdA	NrdAz
Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	JABDES01	JABDES01 sp013286935	NrdA	NrdAz
Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	SOIL31	SOIL31 sp001468865	NrdA	NrdAz
Bacteria	Desantisbacteria	UBA1551	UBA1551	UBA1551	DTFU01	DTFU01 sp011389435	NrdD	NrdDf
Bacteria	Desantisbacteria	UBA1551	UBA1551	UBA1559	UBA1559	UBA1559 sp001871015	NrdD	NrdDf
Bacteria	Desantisbacteria	UBA1551	UBA1551	UBA1551	UBA1551	UBA1551 sp001871075	NrdD	NrdDf
Bacteria	Desantisbacteria	UBA1551	UBA1551	UBA1551	DTFU01	DTFU01 sp011389435	NrdJ	NrdJuc02
Bacteria	Desantisbacteria	UBA1551	UBA1551	UBA1559	UBA1559	UBA1559 sp001871015	NrdJ	NrdJuc02
Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus_B	Desulfobulbus_B propionicus_A	NrdA	NrdAh
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Lawsonia	Lawsonia intracellularis	NrdA	NrdAz
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella sp900770205	NrdD	NrdDc
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans_C	NrdD	NrdDc
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio intestinalis	NrdD	NrdDc
Bacteria	Desulfobacterota_B	Binatia	Binatales	Binataceae	Binatus	Binatus soli	NrdJ	NrdJd
Bacteria	Desulfobacterota_B	Binatia	HRBIN30	HRBIN30	HRBIN30	HRBIN30 sp011054845	NrdJ	NrdJd
Bacteria	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	Bin18 sp011523265	NrdJ	NrdJd
Bacteria	Desulfobacterota_B	Binatia	UBA1149	UBA1149	UBA1149	UBA1149 sp002311335	NrdJ	NrdJd
Bacteria	Desulfobacterota_B	Binatia	Bin18	Bin18	JAAXHF01	JAAXHF01 sp012271025	NrdJ	NrdJd
Bacteria	Desulfobacterota_C	Deferrisomatia	Deferrisomatales	BM512	BM512	BM512 sp002869015	NrdD	NrdDf
Bacteria	Desulfobacterota_C	Deferrisomatia	Deferrisomatales	Deferrisomataceae	Deferrisoma	Deferrisoma sp013152215	NrdD	NrdDf
Bacteria	Desulfobacterota_C	Deferrisomatia	Deferrisomatales	BM512	BM512	BM512 sp002869005	NrdD	NrdDf
Bacteria	Desulfobacterota_C	Deferrisomatia	Deferrisomatales	BM512	SCTA01	SCTA01 sp004322275	NrdD	NrdDf
Bacteria	Desulfobacterota_C	Deferrisomatia	Deferrisomatales	Deferrisomataceae	Deferrisoma	Deferrisoma camini	NrdD	NrdDf
Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	GCA-002715585	GCA-002715585 sp002715585	NrdA	NrdAz
Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	TMED58	TMED58 sp002167555	NrdA	NrdAz
Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	TMED126	TMED126 sp002701605	NrdA	NrdAz
Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	TMED58	TMED58 sp002708105	NrdA	NrdAz
Bacteria	Desulfobacterota_D	UBA1144	UBA1144	UBA1144	UBA1144	UBA1144 sp002311855	NrdA	NrdAz
Bacteria	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	FEB-35	FEB-35 sp003105225	NrdJ	NrdJk
Bacteria	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	CG2-30-66-27	CG2-30-66-27 sp001797445	NrdJ	NrdJk
Bacteria	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	CSP1-8	CSP1-8 sp001443455	NrdJ	NrdJuc02
Bacteria	Desulfobacterota_E	MBNT15	J040	J040	WVXK01	WVXK01 sp011773515	NrdJ	NrdJuc02
Bacteria	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	CSP1-8	CSP1-8 sp003513855	NrdJ	NrdJuc02
Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Seleniibacterium	Seleniibacterium seleniigenes	NrdA	NrdAh
Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Desulfuromusa	Desulfuromusa kysingii	NrdA	NrdAh
Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	SLDV01	SLDV01 sp007125165	NrdA	NrdAh
Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Seleniibacterium	Seleniibacterium seleniigenes	NrdA	NrdAh
Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Desulfuromusa	Desulfuromusa kysingii	NrdA	NrdAh
Bacteria	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	UBA5609	UBA5609 sp002428485	NrdD	NrdDf
Bacteria	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Syntrophorhabdus	Syntrophorhabdus sp002067475	NrdD	NrdDf
Bacteria	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	PNOF01	PNOF01 sp013824645	NrdD	NrdDf
Bacteria	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	MWEV01	MWEV01 sp002071245	NrdD	NrdDf
Bacteria	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	UBA8905	UBA8905 sp002402795	NrdD	NrdDf
Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	OB1-4	OB1-4 thermophilum_A	NrdD	NrdDd
Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus thermophilum	NrdD	NrdDd
Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus turgidum	NrdD	NrdDd
Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	OB1-4	OB1-4 sp008124665	NrdD	NrdDd
Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	NZ13-RE01	NZ13-RE01 sp002878375	NrdD	NrdDd
Bacteria	Dormibacterota	Dormibacteria	UBA8260	UBA8260	Palsa-851	Palsa-851 sp003153505	NrdA	NrdAn
Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	CADDZO01	CADDZO01 sp902812395	NrdA	NrdAz
Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	QHBS01	QHBS01 sp003243885	NrdA	NrdAz
Bacteria	Dormibacterota	Dormibacteria	UBA8260	UBA8260	CF-96	CF-96 sp005889515	NrdJ	NrdJd
Bacteria	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	Palsa-870	Palsa-870 sp003151935	NrdJ	NrdJd
Bacteria	DQWO01	DQWO01	DQWO01	DQWO01	DQWO01	DQWO01 sp011042595	NrdD	NrdDf
Bacteria	DQWO01	DQWO01	DQWO01	JAADEO01	JAADEO01	JAADEO01 sp011049115	NrdJ	NrdJuc02
Bacteria	DSWW01	DSWW01	DSWW01	DSWW01	DSWW01	DSWW01 sp011370045	NrdD	NrdDd
Bacteria	DSWW01	DSWW01	DSWW01	DSWW01	DSWW01	DSWW01 sp011370045	NrdJ	NrdJuc02
Bacteria	DTU030	DTU030	DUMP01	DUMP01	DUNI01	DUNI01 sp012799605	NrdD	NrdDd
Bacteria	DTU030	DTU030	DUMP01	DUMP01	JAAYHG01	JAAYHG01 sp012735455	NrdD	NrdDd
Bacteria	DTU030	DTU030	DTU030	DTU030	DTU030	DTU030 sp001513125	NrdD	NrdDd
Bacteria	DTU030	DTU030	DUMP01	DUMP01	DUNI01	DUNI01 sp012837285	NrdD	NrdDd
Bacteria	DTU030	DTU030	DUMP01	DUMP01	DUNI01	DUNI01 sp012839445	NrdD	NrdDd
Bacteria	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01 sp014360335	NrdD	NrdDd
Bacteria	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01 sp011333285	NrdD	NrdDd
Bacteria	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01 sp011334575	NrdD	NrdDd
Bacteria	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01 sp012839925	NrdD	NrdDd
Bacteria	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01	DUMJ01 sp014360335	NrdJ	NrdJuc01
Bacteria	Edwardsbacteria	AC1	AC1	EtOH8	UBA2255	UBA2255 sp002347565	NrdD	NrdDf
Bacteria	Edwardsbacteria	AC1	AC1	EtOH8	UBA5202	UBA5202 sp002412795	NrdD	NrdDf
Bacteria	Edwardsbacteria	AC1	AC1	EtOH8	UBA2226	UBA2226 sp001777915	NrdD	NrdDf
Bacteria	Eisenbacteria	RBG-16-71-46	SZUA-252	SZUA-252	WS-7	WS-7 sp005893165	NrdJ	NrdJd
Bacteria	Eisenbacteria	RBG-16-71-46	JABDJR01	JABDJR01	JABDJR01	JABDJR01 sp013003415	NrdJ	NrdJd
Bacteria	Eisenbacteria	RBG-16-71-46	SZUA-252	SZUA-252	WS-9	WS-9 sp005893305	NrdJ	NrdJd
Bacteria	Eisenbacteria	RBG-16-71-46	SZUA-252	SZUA-252	WS-7	WS-7 sp005893275	NrdJ	NrdJd
Bacteria	Eisenbacteria	RBG-16-71-46	CAIMUX01	CAIMUX01	CAIMUX01	CAIMUX01 sp903844735	NrdJ	NrdJd
Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA9628	GWA2-66-18	GWA2-66-18 sp013044195	NrdA	NrdAn
Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA1565	UBA1565	UBA1565 sp002790095	NrdA	NrdAn
Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA9628	PALSA-1176	PALSA-1176 sp003151975	NrdA	NrdAn
Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	Elusimicrobium minutum	NrdD	NrdDc
Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp902794895	NrdD	NrdDd
Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Palsa-1515	Palsa-1515 sp903970385	NrdA	NrdAn
Bacteria	Eremiobacterota	Xenobia	Xenobiales	Xenobiaceae	Bruticola	Bruticola papionis	NrdD	NrdDc
Bacteria	Eremiobacterota	Xenobia	Xenobiales	Xenobiaceae	Bruticola	Bruticola sp900313515	NrdD	NrdDc
Bacteria	Eremiobacterota	Eremiobacteria	Eremiobacterales	Eremiobacteraceae	CADDZI01	CADDZI01 sp902812405	NrdJ	NrdJd
Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Rubrimentiphilum	Rubrimentiphilum sp013036095	NrdJ	NrdJd
Archaea	EX4484-52	EX4484-52	EX4484-52	EX4484-52	EX4484-52	EX4484-52 sp002254415	NrdD	NrdDd
Archaea	EX4484-52	EX4484-52	EX4484-52	B79-G9	GLR112	GLR112 sp013139905	NrdD	NrdDd
Archaea	EX4484-52	EX4484-52	EX4484-52	GLR71	GLR71	GLR71 sp013138805	NrdD	NrdDf
Archaea	EX4484-52	EX4484-52	EX4484-52	B79-G9	B79-G9	B79-G9 sp003660865	NrdD	NrdDf
Archaea	EX4484-52	EX4484-52	EX4484-52	JAADEF01	JAADEF01	JAADEF01 sp013153555	NrdJ	NrdJk
Bacteria	FCPU426	Palsa-1180	Palsa-1180	Palsa-1180	Bog-1183	Bog-1183 sp003136635	NrdJ	NrdJd
Bacteria	FCPU426	JAAXVQ01	JAAXVQ01	JAAXVQ01	JAAXVQ01	JAAXVQ01 sp013335425	NrdJ	NrdJuc02
Bacteria	FEN-1099	FEN-1099	FEN-1099	FEN-1099	JAAYVF01	JAAYVF01 sp012517325	NrdD	NrdDd
Bacteria	FEN-1099	FEN-1099	FEN-1099	FEN-1099	JAAYVF01	JAAYVF01 sp012517325	NrdJ	NrdJd
Bacteria	FEN-1099	FEN-1099	FEN-1099	FEN-1099	FEN-1099	FEN-1099 sp003170555	NrdJ	NrdJuc02
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	JAAYTY01	JAAYTY01 sp012523605	NrdD	NrdDd
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	Sabulitectum	Sabulitectum sp002748705	NrdD	NrdDd
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	UBA5938	UBA5938 sp002414865	NrdD	NrdDd
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	Aegiribacteria	Aegiribacteria sp003644925	NrdD	NrdDd
Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	Fermentibacter	Fermentibacter daniensis	NrdD	NrdDd
Bacteria	Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	Chitinivibrio	Chitinivibrio alkaliphilus	NrdA	NrdAh
Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes_N	NrdD	NrdDc
Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter_A	Fibrobacter_A intestinalis	NrdD	NrdDc
Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes_K	NrdD	NrdDc
Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter sp900141705	NrdD	NrdDc
Bacteria	Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	D2-FULL-39-29	D2-FULL-39-29	D2-FULL-39-29 sp001778375	NrdJ	NrdJuc02
Bacteria	Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	CAIOVX01	CAIOVX01	CAIOVX01 sp903916325	NrdJ	NrdJuc02
Bacteria	Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	CAIOVX01	CAIOVX01	CAIOVX01 sp903894145	NrdJ	NrdJuc02
Bacteria	Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	D2-FULL-39-29	CAIYPD01	CAIYPD01 sp903928075	NrdJ	NrdJuc02
Bacteria	Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	CAIOVX01	CAIOVX01	CAIOVX01 sp903861835	NrdJ	NrdJuc02
Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_D	Paenibacillus_D abyssi	NrdA	NrdAh
Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Cohnella	Cohnella abietis	NrdA	NrdAh
Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Clostridium_AQ	Clostridium_AQ sp003481775	NrdA	NrdAh
Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_AC	Paenibacillus_AC psychroresistens	NrdA	NrdAh
Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	UBA4045	UBA4045 sp002383285	NrdA	NrdAh
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora algidixylanolyticum	NrdA	NrdAh
Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Levyella	Levyella massiliensis	NrdA	NrdAh
Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Murdochiella	Murdochiella vaginalis	NrdA	NrdAh
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp014287875	NrdA	NrdAh
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A	Lachnoclostridium_A edouardi	NrdA	NrdAh
Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus niger	NrdA	NrdAh
Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UMGS1590	UMGS1590 sp900553245	NrdA	NrdAh
Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UMGS1590	UMGS1590 sp900552455	NrdA	NrdAh
Bacteria	Firmicutes_B	Syntrophomonadia	Thermacetogeniales	Thermacetogeniaceae	DULK01	DULK01 sp902812435	NrdD	NrdDc
Bacteria	Firmicutes_B	Desulfotomaculia	Desulfotomaculales	Desulfovirgulaceae	Desulfovirgula	Desulfovirgula thermocuniculi	NrdD	NrdDc
Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	F0422	F0422 sp003992055	NrdA	NrdAh
Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp900538355	NrdA	NrdAh
Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	NrdA	NrdAh
Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella rodentium	NrdA	NrdAh
Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	F0422	F0422 sp900544365	NrdA	NrdAh
Bacteria	Firmicutes_D	Dethiobacteria	DTU022	PWGO01	T1SED10-157	T1SED10-157 sp003554535	NrdA	NrdAi
Bacteria	Firmicutes_D	Dethiobacteria	DTU022	DTU022	SLQM01	SLQM01 sp007131435	NrdD	NrdDc
Bacteria	Firmicutes_D	Dethiobacteria	PWVN01	PWVN01	PWVN01	PWVN01 sp003567935	NrdD	NrdDc
Bacteria	Firmicutes_D	Dethiobacteria	DTU022	DTU022	T3SED10-7	T3SED10-7 sp003564505	NrdD	NrdDc
Bacteria	Firmicutes_D	Dethiobacteria	DTU022	DTU022	JAAYGO01	JAAYGO01 sp012727685	NrdD	NrdDc
Bacteria	Firmicutes_E	Sulfobacillia	Sulfobacillales	Sulfobacillaceae	Sulfobacillus_B	Sulfobacillus_B sp012933365	NrdA	NrdAh
Bacteria	Firmicutes_E	Symbiobacteriia	Symbiobacteriales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum	NrdA	NrdAh
Bacteria	Firmicutes_E	Sulfobacillia	Sulfobacillales	R501	R501	R501 sp902809825	NrdA	NrdAh
Bacteria	Firmicutes_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	Thermaerobacter sp004634385	NrdA	NrdAq
Bacteria	Firmicutes_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	Thermaerobacter subterraneus	NrdA	NrdAq
Bacteria	Firmicutes_F	Halanaerobiia	Halobacteroidales	Halobacteroidaceae	Halonatronum	Halonatronum saccharophilum	NrdD	NrdDc
Bacteria	Firmicutes_F	Halanaerobiia	Halanaerobiales	Halothermotrichaceae	Halothermothrix	Halothermothrix orenii	NrdD	NrdDd
